index,trade_date,volume,price,volatility,spx_beta,market_cap,avg_market_size,primary_route,industry_group,med_spread_1,med_spread_2,med_spread_3,med_spread_4
0,2018-08-15,17331087.5,68.15,22.2784,1.47060641286,55739.34,746.410249,NASDAQ,,0.0471323,0.0221385,0.0130908,0.0100817
1,2018-08-15,166571.5,9.76,61.7024,1.11535531494,240.06,283.64165775,NYSE,Healthcare-Services,0.1446283,0.063511,0.029842,0.0207052
2,2018-08-15,22386.0,51.21,15.0656,0.632853093975,213.8,1061.26323025,ARCA,,0.2806589,0.1491052,0.0995569,0.099854
3,2018-08-15,3534418.5,37.09,29.7536,1.24165343321,17080.29,573.556632,NASDAQ,Airlines,0.0248255,0.0161776,0.01,0.01
4,2018-08-15,1113.5,64.65,93.6704,-0.35141942238,104.3,133.5324715,AMEX,Diversified Finan Serv,9.38525625,6.9359841,5.3775237,5.3276197
5,2018-08-15,707.0,2.8,131.232,1.01020696565,56.7,1175.6926565,NASDAQ,Insurance,,0.299999,0.1626936,
6,2018-08-15,465183.5,48.09,36.0256,1.41221925405,3326.66,224.562035,NYSE,Commercial Services,0.3470952,0.0913965,0.0349753,0.0135115
7,2018-08-15,1053490.0,41.68,57.7728,2.5449814871,821.01,232.1424715,NASDAQ,Electronics,0.1787593,0.1326111,0.072055,0.0315915
8,2018-08-15,165994.5,39.75,26.88,0.582260060663,2077.52,448.87601625,NASDAQ,Building Materials,0.3874506,0.1796456,0.0861693,0.05
9,2018-08-15,23647754.0,209.75,13.4656,1.13233821373,1013076.98,478.3000305,NASDAQ,Computers,0.0229979,0.0165239,0.0109637,0.0107456
10,2018-08-15,619181.5,156.13,25.376,0.846875593257,11566.31,164.782504,NYSE,Retail,0.2990197,0.1949369,0.0807332,0.0348727
11,2018-08-15,122932.0,38.61,17.3824,0.0996942172595,1823.25,191.7987385,NYSE,REITS,0.2520621,0.1102086,0.0390025,0.0195263
12,2018-08-15,2644354.0,44.13,33.0688,1.24764254399,8229.06,311.184106,NYSE,Mining,0.0613987,0.0348055,0.0144422,0.0102667
13,2018-08-15,102675.5,0.61,49.2928,0.0355632963738,68.1,1748.89146825,AMEX,Mining,0.00816155555556,0.0077504,0.0074556,0.0076239
14,2018-08-15,117784.5,3.15,57.3184,0.486696886432,586.53,6796.92961025,NYSE,Oil&Gas,0.0715295,0.0721554,0.0510071,0.055
15,2018-08-15,266261.5,59.9,34.0288,0.810513799415,1531.94,292.7097435,NASDAQ,Transportation,0.4711677,0.2458683,0.1073289,0.063325
16,2018-08-15,782334.0,70.29,8.2496,0.888593547046,4189.28,596.2660935,NASDAQ,,0.0408053,0.0283256,0.0132726,0.0112177
17,2018-08-15,661341.5,62.31,49.0944,1.69566316091,3633.9,208.9405505,NASDAQ,Miscellaneous Manufactur,0.2754186,0.1764282,0.0830269,0.0321269
18,2018-08-15,5309.5,2.25,94.688,0.0423160381391,22.46,627.974368,NASDAQ,Agriculture,,,0.0917849,0.09
19,2018-08-15,1440277.5,22.51,10.2784,0.892006990961,48805.02,3845.27908025,NYSE,Machinery-Constr&Mining,0.01,0.01,0.01,0.01
20,2018-08-15,4957311.5,95.92,22.2528,1.02518335476,145249.04,288.49944125,NYSE,Pharmaceuticals,0.0649253,0.0353253,0.0159063,0.0117363
21,2018-08-15,337270.5,49.25,22.4,0.871039750421,2340.29,332.89542275,NASDAQ,Banks,0.1792958,0.1023702,0.0593172,0.05
22,2018-08-15,110767.0,11.92,43.0784,1.29865197317,563.31,214.592918,NASDAQ,Commercial Services,0.2055867,0.0747469,0.0371809,0.0229362
23,2018-08-15,1324163.5,84.43,24.6592,1.06379746397,18266.99,252.051202,NYSE,Pharmaceuticals,0.148596,0.0948882,0.0366879,0.0157463
24,2018-08-15,50725.5,6.22,39.072,0.0059156558981,84.16,1617.4343715,NASDAQ,Investment Companies,0.096353,0.0584786,0.0448479,0.0418112857143
25,2018-08-15,330458.0,13.0,56.0064,1.25498247295,623.26,1200.128312,NASDAQ,Biotechnology,0.1092012,0.0742973,0.0516328,0.05
26,2018-08-15,30763076.0,5.01,26.1952,1.08475157976,78767.96,140154.951266,NYSE,Beverages,0.01,0.01,0.01,0.01
27,2018-08-15,183854.0,75.0,27.5776,1.17041275849,1526.47,246.43985075,NYSE,Retail,0.4981498,0.1942023,0.1032157,0.0848294
28,2018-08-15,42401.0,4.55,164.48,1.5741417914,11.72,463.736344,NASDAQ,Computers,0.106889875,0.0432186,0.0621791,0.048652625
29,2018-08-15,860541.0,0.6216,121.5616,0.124833278286,8.66,2172.4185825,NASDAQ,Biotechnology,0.0131453,0.009615,0.0076997,0.00937311111111
