index,symbol,trade_date,volume,price,volatility,spx_beta,market_cap,avg_market_size,primary_route,industry_group
0,AAAU US,2019-04-09,12099.0,12.96,6.9568,0.00812387227837,107.57,13115.7366785,ARCA,
1,AABA US,2019-04-09,4047100.5,74.46,19.0976,1.05658966219,45086.14,1120.4894535,NASDAQ,
2,AAC US,2019-04-09,140112.5,2.06,101.344,1.39991541423,50.68,757.796085,NYSE,Healthcare-Services
3,AADR US,2019-04-09,9614.0,46.5589,11.6544,0.139182678204,110.58,502.4343565,ARCA,
4,AAL US,2019-04-09,5950393.0,33.88,26.5856,1.0709000343,15214.0,1052.165504,NASDAQ,Airlines
5,AAMC US,2019-04-09,4583.0,30.0,111.0336,0.168961558681,47.54,207.8620775,AMEX,Diversified Finan Serv
6,AAME US,2019-04-09,2090.0,2.63,89.12,-0.322806234046,53.41,405.70078075,NASDAQ,Insurance
7,AAN US,2019-04-09,369961.5,53.56,27.488,1.02284384105,3630.19,166.99442775,NYSE,Commercial Services
8,AAOI US,2019-04-09,629482.5,12.5,54.976,1.6496584096,248.53,346.9369245,NASDAQ,Electronics
9,AAON US,2019-04-09,108131.0,45.73,29.728,1.41685444074,2381.22,149.470996,NASDAQ,Building Materials
10,AAPL US,2019-04-09,19788983.5,200.1,17.7792,1.30703365668,943527.53,387.5725155,NASDAQ,Computers
11,AAP US,2019-04-09,789137.5,177.59,25.2288,0.930834282163,12727.9,142.2502425,NYSE,Retail
12,AAT US,2019-04-09,182559.0,46.0,16.2432,0.441558650104,2176.97,140.77389025,NYSE,REITS
13,AA US,2019-04-09,2889260.0,29.66,34.3296,1.95384629837,5502.42,537.209929,NYSE,Mining
14,AAU US,2019-04-09,134483.0,0.5649,54.016,0.116002489961,63.11,2463.01347625,AMEX,Mining
15,AAWW US,2019-04-09,253947.0,50.49,34.8544,1.59293692554,1300.07,160.2079245,NASDAQ,Transportation
16,AAXJ US,2019-04-09,1257408.0,72.97,8.6016,0.770401485343,4567.92,2472.42624225,NASDAQ,
17,AAXN US,2019-04-09,333842.5,60.32,33.152,1.77805642169,3565.47,155.59291625,NASDAQ,Miscellaneous Manufactur
18,ABB US,2019-04-09,1850179.0,19.75,11.3152,0.791155812231,42820.93,8966.894722,NYSE,Electronics
19,ABBV US,2019-04-09,3810931.5,83.98,19.6032,0.809206023961,124136.27,324.5764075,NYSE,Pharmaceuticals
20,ABCB US,2019-04-09,230036.0,36.09,27.8848,1.40972127478,1717.35,146.2405845,NASDAQ,Banks
21,ABC US,2019-04-09,1298090.5,78.12,21.8048,0.965955113037,16490.34,200.17176425,NYSE,Pharmaceuticals
22,ABDC US,2019-04-09,42830.0,7.99,33.7728,0.0956080701612,102.88,863.1083515,NASDAQ,Investment Companies
23,ABEO US,2019-04-09,226526.0,7.59,60.1472,2.23493916465,363.94,363.97942875,NASDAQ,Biotechnology
