index,symbol,trade_date,volume,price,volatility,spx_beta,market_cap,avg_market_size,primary_route,industry_group
0,AAAU US,2019-05-16,23255.5,12.9481,6.3104,-0.00561444543685,107.47,13405.8436122,ARCA,
1,AABA US,2019-05-16,5930262.0,71.32,25.1392,1.39972714409,43184.84,527.70312325,NASDAQ,
2,AAC US,2019-05-16,150391.0,1.65,117.5552,0.447602931288,41.75,780.56714275,NYSE,Healthcare-Services
3,AADR US,2019-05-16,11225.0,45.381,12.5696,0.28131217779,100.97,440.16746325,ARCA,
4,AAL US,2019-05-16,4620747.5,32.16,26.4704,1.39232051972,14305.9,633.10745925,NASDAQ,Airlines
5,AAMC US,2019-05-16,2322.5,21.85,96.3968,0.86519666519,34.73,234.08871125,AMEX,Diversified Finan Serv
6,AAME US,2019-05-16,294.5,2.47,74.8864,-0.244400112471,49.75,311.214137,NASDAQ,Insurance
7,AAN US,2019-05-16,432860.5,54.24,33.7856,1.3097932852,3670.82,158.017497,NYSE,Commercial Services
8,AAOI US,2019-05-16,710886.5,10.01,48.8576,1.72405564285,199.6,403.71783325,NASDAQ,Electronics
9,AAON US,2019-05-16,125179.0,46.64,33.4912,1.41115303753,2430.66,163.4632515,NASDAQ,Building Materials
10,AAPL US,2019-05-16,31834581.5,190.92,20.6336,1.56557169459,878437.24,357.1180305,NASDAQ,Computers
11,AAP US,2019-05-16,892380.0,155.83,22.9056,0.781770552919,11175.75,155.632881,NYSE,Retail
12,AAT US,2019-05-16,121108.5,45.99,20.032,0.713659464419,2207.81,160.04958525,NYSE,REITS
13,AA US,2019-05-16,3448333.5,25.01,32.096,1.26180238916,4640.22,486.95944275,NYSE,Mining
14,AAU US,2019-05-16,141625.5,0.498,57.4656,-0.057325007206,55.64,1994.22928725,AMEX,Mining
15,AAWW US,2019-05-16,294398.5,40.26,34.464,1.22714821119,1040.79,165.48490825,NASDAQ,Transportation
16,AAXJ US,2019-05-16,1706019.0,67.8,10.3104,0.85661413684,4244.28,1332.2535035,NASDAQ,
17,AAXN US,2019-05-16,717500.0,65.41,35.9488,1.39209426374,3867.53,168.797044,NASDAQ,Miscellaneous Manufactur
18,ABB US,2019-05-16,1613548.5,18.86,11.9936,0.78202045131,40891.28,4375.626679,NYSE,Electronics
19,ABBV US,2019-05-16,3708808.5,78.78,21.9968,1.17373433879,116463.01,314.387963,NYSE,Pharmaceuticals
20,ABCB US,2019-05-16,216371.0,36.02,31.0144,1.21762104117,1714.02,139.1592475,NASDAQ,Banks
21,ABC US,2019-05-16,1390686.0,77.86,26.7456,1.1031696264,16364.38,175.52998475,NYSE,Pharmaceuticals
22,ABDC US,2019-05-16,23336.5,8.435,26.464,0.197823510486,108.61,474.99872725,NASDAQ,Investment Companies
23,ABEO US,2019-05-16,358566.0,7.28,54.9184,1.71318996594,357.9,326.4250905,NASDAQ,Biotechnology
24,ABEV US,2019-05-16,25175005.5,4.14,27.872,0.909020909994,65110.95,134006.808687,NYSE,Beverages
25,ABG US,2019-05-16,89087.5,79.62,28.864,0.897351628224,1544.93,126.85435875,NYSE,Retail
26,ABIL US,2019-05-16,67944.0,1.3,87.7248,0.519188534301,10.45,1111.0767675,NASDAQ,Aerospace/Defense
27,ABIO US,2019-05-16,969599.5,10.18,150.1184,0.886581326642,11.19,502.98959025,NASDAQ,Biotechnology
28,ABMD US,2019-05-16,800560.0,259.68,48.8896,1.69990532764,11717.54,138.664444,NASDAQ,Healthcare-Products
29,ABM US,2019-05-16,157123.5,38.01,24.9216,1.15133502154,2517.74,171.60816625,NYSE,Commercial Services
30,ABR US,2019-05-16,1461518.0,13.45,17.4464,0.660141076975,1431.61,1147.7030145,NYSE,REITS
31,ABT US,2019-05-16,3664004.0,76.51,18.6752,1.16081496759,134977.51,301.61670575,NYSE,Healthcare-Products
32,ABTX US,2019-05-16,63298.0,34.97,33.1712,0.827306539284,746.31,166.59215175,NASDAQ,Banks
33,AB US,2019-05-16,229574.0,28.96,19.9808,0.573482636265,2751.04,279.31078425,NYSE,Diversified Finan Serv
34,ABUS US,2019-05-16,272362.5,2.38,81.2992,1.46170897957,135.3,575.43241625,NASDAQ,Biotechnology
35,ACAD US,2019-05-16,887291.0,25.94,49.6576,2.36430911263,3739.66,210.814165,NASDAQ,Biotechnology
36,ACAM US,2019-05-16,5905.49049,9.5,30.0,0.0690049022185,290.29,,NASDAQ,Holding Companies-Divers
37,ACAMU US,2019-05-16,30450.0,10.03,3.1552,-0.00896437553064,306.49,1118.8376495,NASDAQ,Holding Companies-Divers
38,ACA US,2019-05-16,182415.0,36.16,44.7232,1.24169392567,1748.31,240.431747,NYSE,Engineering&Construction
39,ACBI US,2019-05-16,117764.5,17.41,27.2512,0.639872967054,419.66,193.7811535,NASDAQ,Banks
40,ACB US,2019-05-16,14649248.0,8.68,40.1792,1.56286484356,8802.39,19101.5742468,NYSE,Pharmaceuticals
41,ACCO US,2019-05-16,383176.0,8.19,33.2864,1.05976595233,836.11,595.56568975,NYSE,Household Products/Wares
42,ACC US,2019-05-16,612342.0,46.7,17.0496,0.410835413538,6410.05,218.97554425,NYSE,REITS
43,ACER US,2019-05-16,40803.5,22.51,62.816,0.953859779423,227.07,273.65920025,NASDAQ,Biotechnology
44,ACES US,2019-05-16,6412.5,28.0894,14.9504,0.259963116111,60.39,286.6654525,BATS,
45,ACGL US,2019-05-16,923428.0,34.04,15.008,0.702816935208,13745.47,425.879163,NASDAQ,Insurance
