index,symbol,trade_date,volume,price,volatility,spx_beta,market_cap,avg_market_size,primary_route,industry_group
0,AAAU US,2019-05-28,22862.5,12.83,7.5648,0.00827913854992,106.49,13407.1668895,ARCA,
1,AABA US,2019-05-28,6564109.5,61.91,24.4096,1.29706334748,32162.95,529.128992,NASDAQ,
2,AAC US,2019-05-28,393642.0,1.1,128.8704,0.503844430138,27.83,926.369412,NYSE,Healthcare-Services
3,AADR US,2019-05-28,7990.0,45.81,14.304,0.26599386206,101.93,444.48458775,ARCA,
4,AAL US,2019-05-28,5047396.0,29.17,27.0464,1.36525004144,12975.84,807.43575675,NASDAQ,Airlines
5,AAMC US,2019-05-28,1060.0,20.2952,111.5392,1.01317380858,32.26,225.9485485,AMEX,Diversified Finan Serv
6,AAME US,2019-05-28,86.0,2.51,73.3824,-0.167024744132,50.56,341.064862,NASDAQ,Insurance
7,AAN US,2019-05-28,479546.0,54.44,32.6336,1.39090882676,3684.36,159.36932,NYSE,Commercial Services
8,AAOI US,2019-05-28,578513.5,9.03,48.9792,1.42291866171,180.05,387.37331975,NASDAQ,Electronics
9,AAON US,2019-05-28,102206.5,46.65,33.5232,1.41156533938,2431.18,166.4242675,NASDAQ,Building Materials
10,AAPL US,2019-05-28,28242929.0,178.97,20.3264,1.53534728222,823454.39,392.13897075,NASDAQ,Computers
11,AAP US,2019-05-28,1396591.0,158.09,25.6448,0.980249200511,11340.88,164.878089,NYSE,Retail
12,AAT US,2019-05-28,115742.5,45.97,17.7728,0.635388220669,2206.85,164.72186225,NYSE,REITS
13,AA US,2019-05-28,2961625.0,23.01,30.9632,1.22364478153,4269.15,480.87023625,NYSE,Mining
14,AAU US,2019-05-28,74659.5,0.4465,60.3776,-0.409159227338,49.89,2204.387126,AMEX,Mining
15,AAWW US,2019-05-28,201285.0,39.0,31.8784,1.26598658329,1008.22,154.6887175,NASDAQ,Transportation
16,AAXJ US,2019-05-28,1460104.0,65.43,9.5104,0.80058770422,3978.14,1513.09913825,NASDAQ,
17,AAXN US,2019-05-28,567382.0,67.14,33.6832,1.40505093831,3969.82,174.156355,NASDAQ,Miscellaneous Manufactur
18,ABB US,2019-05-28,1817452.0,18.83,11.4432,0.772040109576,40826.23,5570.2262675,NYSE,Electronics
19,ABBV US,2019-05-28,3983871.0,80.06,20.8384,1.20094755178,118355.27,331.7588825,NYSE,Pharmaceuticals
20,ABCB US,2019-05-28,166235.0,36.16,28.2688,1.21772040807,1720.68,147.964435,NASDAQ,Banks
21,ABC US,2019-05-28,1115352.0,80.68,25.056,1.03216788016,16957.08,181.25564825,NYSE,Pharmaceuticals
22,ABDC US,2019-05-28,29176.5,8.49,24.5504,0.115498639751,109.31,654.53251075,NASDAQ,Investment Companies
23,ABEO US,2019-05-28,386528.0,6.55,50.4,1.44898316206,322.01,372.15191775,NASDAQ,Biotechnology
24,ABEV US,2019-05-28,27181982.5,4.26,27.488,0.827279765155,66998.22,179269.915481,NYSE,Beverages
25,ABG US,2019-05-28,81913.0,78.58,26.624,0.882451505333,1524.75,121.156882,NYSE,Retail
26,ABIL US,2019-05-28,62957.5,1.27,94.8736,1.19632765408,10.21,1018.9964515,NASDAQ,Aerospace/Defense
27,ABIO US,2019-05-28,130698.5,6.97,134.4512,0.149726287165,9.85,337.59521425,NASDAQ,Biotechnology
28,ABMD US,2019-05-28,639834.0,270.39,44.6144,1.71583999563,12201.28,140.64932325,NASDAQ,Healthcare-Products
29,ABM US,2019-05-28,151771.0,37.1,23.4112,1.10491862971,2457.47,159.31684575,NYSE,Commercial Services
30,ABR US,2019-05-28,1386458.0,12.94,17.5424,0.689925538567,1480.85,1596.1166105,NYSE,REITS
31,ABT US,2019-05-28,3918828.5,76.98,16.9984,1.0374958202,135806.67,309.1479025,NYSE,Healthcare-Products
32,ABTX US,2019-05-28,58754.0,34.95,30.6944,0.855931484782,745.89,172.578804,NASDAQ,Banks
33,AB US,2019-05-28,153888.5,28.55,19.6224,0.652750993782,2712.09,269.7171465,NYSE,Diversified Finan Serv
34,ABUS US,2019-05-28,191742.5,1.91,80.2048,1.4832815305,108.58,783.71077075,NASDAQ,Biotechnology
35,ACAD US,2019-05-28,711099.5,25.96,43.7248,2.06794372315,3742.55,223.99571675,NASDAQ,Biotechnology
36,ACA US,2019-05-28,195647.0,34.42,40.096,1.01986816942,1664.18,223.00948775,NYSE,Engineering&Construction
37,ACBI US,2019-05-28,65839.0,17.23,26.5728,0.736984943329,415.32,188.18703875,NASDAQ,Banks
38,ACB US,2019-05-28,14825201.5,8.31,37.2032,1.40840395491,8450.03,19927.8378298,NYSE,Pharmaceuticals
39,ACCO US,2019-05-28,411617.5,7.83,31.552,1.0963132875,799.36,657.91277775,NYSE,Household Products/Wares
40,ACC US,2019-05-28,639244.5,47.34,15.52,0.411397428458,6497.89,280.37560725,NYSE,REITS
41,ACER US,2019-05-28,52521.0,18.75,65.568,0.826156069591,189.14,226.514298,NASDAQ,Biotechnology
42,ACES US,2019-05-28,3636.0,27.656,17.1584,0.169884856165,59.46,345.17037975,BATS,
43,ACGL US,2019-05-28,1012859.0,34.4,14.7328,0.750920635835,13890.84,453.36771775,NASDAQ,Insurance
44,ACHC US,2019-05-28,424144.5,32.71,32.8384,1.53490208889,2901.42,194.752344,NASDAQ,Healthcare-Services
45,ACHN US,2019-05-28,1142714.0,2.84,71.5648,2.19450123558,393.98,2614.15744225,NASDAQ,Biotechnology
46,ACH US,2019-05-28,32087.0,8.44,25.0944,0.621596833051,9029.3,242.934409,NYSE,Mining
