index,symbol,trade_date,volume,price,volatility,spx_beta,market_cap,avg_market_size,primary_route,industry_group
0,AAAU US,2019-06-04,25165.0,13.24,7.584,0.0246443611455,117.84,13307.5762405,ARCA,
1,AABA US,2019-06-04,6648558.0,59.36,23.264,1.02737159429,30838.2,592.043606,NASDAQ,
2,AAC US,2019-06-04,632980.0,1.01,148.5248,1.0641774613,25.55,1113.1765365,NYSE,Healthcare-Services
3,AADR US,2019-06-04,6004.0,46.52,13.0496,0.165591931534,101.18,424.1747425,ARCA,
4,AAL US,2019-06-04,6689860.0,27.2,27.8144,1.36056179702,12099.52,1013.637873,NASDAQ,Airlines
5,AAMC US,2019-06-04,5717.0,14.1,113.4144,1.58210736629,22.41,249.2666065,AMEX,Diversified Finan Serv
6,AAME US,2019-06-04,105.0,2.365,74.944,-0.091592475199,47.64,1009.1787405,NASDAQ,Insurance
7,AAN US,2019-06-04,390661.0,53.18,31.4368,1.27279693669,3599.09,172.8750465,NYSE,Commercial Services
8,AAOI US,2019-06-04,385870.0,8.81,49.3696,1.3094938692,175.67,331.080096,NASDAQ,Electronics
9,AAON US,2019-06-04,101458.0,45.86,32.9536,1.33134622777,2390.01,164.645057,NASDAQ,Building Materials
10,AAPL US,2019-06-04,23712947.0,173.3,20.48,1.26777863293,797366.3,395.4044715,NASDAQ,Computers
11,AAP US,2019-06-04,1562076.0,153.17,25.7856,0.922682895012,10987.94,170.121431,NYSE,Retail
12,AAT US,2019-06-04,119104.0,45.68,18.1568,0.677400564791,2192.93,167.384465,NYSE,REITS
13,AA US,2019-06-04,2978447.0,21.51,31.8336,1.20469545068,3990.85,497.601332,NYSE,Mining
14,AAU US,2019-06-04,99328.0,0.485,58.6496,-0.0611161970564,54.19,2289.297199,AMEX,Mining
15,AAWW US,2019-06-04,222955.0,37.01,34.336,1.19124596087,956.77,155.10798,NASDAQ,Transportation
16,AAXJ US,2019-06-04,1373740.0,66.37,9.1968,0.704061801491,3995.47,1635.296998,NASDAQ,
17,AAXN US,2019-06-04,501277.0,67.46,34.208,1.42233473043,3988.74,166.291413,NASDAQ,Miscellaneous Manufactur
18,ABB US,2019-06-04,2517154.0,18.43,11.5712,0.743772598277,39958.97,5835.3725745,NYSE,Electronics
19,ABBV US,2019-06-04,3585535.0,75.7,21.0944,1.05438852026,111909.75,325.1993545,NYSE,Pharmaceuticals
20,ABCB US,2019-06-04,199334.0,35.9,28.3712,1.01792669448,1708.31,160.780458,NASDAQ,Banks
21,ABC US,2019-06-04,1190781.0,80.37,24.992,0.937304826818,16891.92,184.081991,NYSE,Pharmaceuticals
22,ABDC US,2019-06-04,30650.0,8.105,25.5168,0.0543447101293,104.36,1134.695639,NASDAQ,Investment Companies
23,ABEO US,2019-06-04,408320.0,5.19,52.0192,1.23696936228,255.15,425.5537585,NASDAQ,Biotechnology
